busNo.,岐阜大学病院,柳戸橋,岐阜大学,種類,路線名,option,岐大口,繰舟橋,正木北,正木マーサ前,則武,北高前,忠節,忠節橋,西野町,本郷町,柳ヶ瀬西口,千手堂,徹明町,金宝町,名鉄岐阜,JR岐阜,正木東,さぎ山小学校北,青山中学校南,さぎ山東,自衛隊岐阜地本前,岐阜メモリアルセンター北,長良川国際会議場北口,長良橋北・鵜飼屋,長良橋南・川原町,岐阜公園・岐阜城,大仏南・妙照寺前,本町１丁目（岐阜市）,本町３丁目（岐阜市）,伊奈波通り,市役所・鶯谷高校口,今沢町,商工会議所前,柳ヶ瀬,加納桜道,加納附属小学校前,加納駅前,加納八幡町,茶所,上川手,領下,細畑,いりのと公園前,岐阜女子高前,岐南町三宅,id,baseDayType,operationRule,operatingStartMonth,operatingEndMonth,mayBeArticulatedBus
14,11:25,11:26,11:27,土曜日・日祝日,C,,,,,11:35,,11:38,11:39,,11:42,,,11:45,11:48,,11:50,11:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_014,WEEKEND_HOLIDAY,NONE,,,false
15,11:45,11:46,11:47,土曜日・日祝日,C,,,,,11:55,,11:58,11:59,,12:02,,,12:05,12:08,,12:10,12:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_015,WEEKEND_HOLIDAY,NONE,,,false
16,12:05,12:06,12:07,土曜日・日祝日,C,,,,,12:15,,12:18,12:19,,12:22,,,12:25,12:28,,12:30,12:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_016,WEEKEND_HOLIDAY,NONE,,,false
17,12:25,12:26,12:27,土曜日・日祝日,C,,,,,12:35,,12:38,12:39,,12:42,,,12:45,12:48,,12:50,12:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_017,WEEKEND_HOLIDAY,NONE,,,false
18,12:50,12:51,12:52,土曜日・日祝日,C,,,,,13:00,,13:03,13:04,,13:07,,,13:10,13:13,,13:15,13:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_018,WEEKEND_HOLIDAY,NONE,,,false
19,13:15,13:16,13:17,土曜日・日祝日,C,,,,,13:25,,13:28,13:29,,13:32,,,13:35,13:38,,13:40,13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_019,WEEKEND_HOLIDAY,NONE,,,false
20,13:40,13:41,13:42,土曜日・日祝日,C,,,,,13:50,,13:53,13:54,,13:57,,,14:00,14:03,,14:05,14:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_020,WEEKEND_HOLIDAY,NONE,,,false
21,14:05,14:06,14:07,土曜日・日祝日,C,,,,,14:15,,14:19,14:20,,14:23,,,14:26,14:29,,14:31,14:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_021,WEEKEND_HOLIDAY,NONE,,,false
22,14:30,14:31,14:32,土曜日・日祝日,C,,,,,14:40,,14:44,14:45,,14:48,,,14:51,14:54,,14:56,14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_022,WEEKEND_HOLIDAY,NONE,,,false
23,14:55,14:56,14:57,土曜日・日祝日,C,,,,,15:05,,15:09,15:10,,15:13,,,15:16,15:19,,15:21,15:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekend_holiday_c_023,WEEKEND_HOLIDAY,NONE,,,false
